source,asset,source_value,app_value,is_seed,is_current,valid_from
EodHistoricalData,exchange,LSE,XLON,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,V,XTSX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,NEO,NEOE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,TO,XTSE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,BE,XBER,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,XETRA,XETR,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,DU,XDUS,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,HM,XHAM,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,HA,XHAN,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,MU,XMUN,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,STU,XSTU,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,F,XFRA,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,LU,XLUX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,VI,XWBO,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,MI,XMIL,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,PA,XPAR,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,BR,XBRU,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,AS,XAMS,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,SW,XSWX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,LS,XLIS,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,MC,BMEX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,IR,XDUB,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,HE,XHEL,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,ST,XSTO,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,OL,XOSL,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,IC,XICE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,CO,XCSE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,PR,XPRA,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,HK,XHKG,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,TA,XTAE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,KO,XKRX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,KQ,XKOS,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,PSE,XPHS,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,WAR,XWAR,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,BUD,XBUD,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,SG,XSES,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,BSE,XBOM,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,BK,XBKK,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,AU,XASX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,KAR,XKAR,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,TSE,XJPX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,SN,XSGO,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,SR,XSAU,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,JSE,XJSE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,NSE,XNSE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,JK,XIDX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,SHG,XSHG,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,SHE,XSHE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,AT,ASEX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,CM,XCOL,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,VN,HSTC,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,KLSE,XKLS,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,BA,XBUE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,SA,BVMF,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,RO,XBSE,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,MX,XMEX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,ZSE,XZAG,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,IS,XIST,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,CC,CRYP,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,BOND,BOND,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,FOREX,CDSL,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,EUFUND,EUFUND,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,MONEY,MONEY,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,GBOND,GBOND,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,LIM,XLIM,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,TWO,ROCO,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,MCX,MCX,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,EUBOND,EUBOND,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,TW,XTAI,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,US,XNAS,TRUE,TRUE,01.01.23
EodHistoricalData,exchange,US,XNYS,TRUE,TRUE,01.01.23
