source,product,field,source_value,source_description,uid,uid_description,is_seed,valid_from,valid_until,is_active
EodHistoricalData,exchange,exchange_code,US,,XNAS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,US,,XNYS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,LSE,,XLON,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,V,,XTSX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,NEO,,NEOE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,TO,,XTSE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,BE,,XBER,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,DU,,XDUS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,HM,,XHAM,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,HA,,XHAN,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,MU,,XMUN,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,STU,,XSTU,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,F,,XFRA,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,LU,,XLUX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,VI,,XWBO,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,MI,,XMIL,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,PA,,XPAR,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,BR,,XBRU,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,AS,,XAMS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,SW,,XSWX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,LS,,XLIS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,MC,,BMEX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,VX,,XSWX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,IR,,XDUB,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,HE,,XHEL,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,ST,,XSTO,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,OL,,XOSL,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,IC,,XICE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,CO,,XCSE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,PR,,XPRA,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,HK,,XHKG,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,TA,,XTAE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,KO,,XKRX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,KQ,,XKOS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,PSE,,XPHS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,WAR,,XWAR,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,BUD,,XBUD,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,SG,,XSES,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,BSE,,XBOM,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,BK,,XBKK,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,AU,,XASX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,KAR,,XKAR,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,TSE,,XJPX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,SN,,XSGO,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,SR,,XSAU,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,JSE,,XJSE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,NSE,,XNSE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,JK,,XIDX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,SHG,,XSHG,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,SHE,,XSHE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,AT,,ASEX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,CM,,XCOL,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,VN,,HSTC,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,KLSE,,XKLS,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,BA,,XBUE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,SA,,BVMF,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,RO,,XBSE,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,MX,,XMEX,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,ZSE,,XZAG,mic,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,IL,,XLON,mic,True,2023-01-01 00:00:00,,True
