surrogate_key,product,uid,is_active,valid_from,valid_until
6720,security,BBG010JWLP17,True,,
6721,security,BBG001S60949,True,,
6722,security,BBG001SFTQZ6,True,,
6723,security,BBG0077N8Z46,True,,
6724,security,BBG00XK4G3J2,True,,
6725,security,BBG001S8J8Q3,True,,
6726,security,BBG001SNFNL6,True,,
6727,security,BBG00K9D8GZ5,True,,
6728,security,BBG001S6LDD7,True,,
6729,security,BBG001S5WMP4,True,,
6730,security,BBG001SBS7D2,True,,
6731,security,BBG00W5DYJV2,True,,
6732,security,BBG005K170Z7,True,,
6733,security,BBG001S67JB2,True,,
6734,security,BBG001YB7FZ6,True,,
6735,security,BBG001T6D9T7,True,,
6736,security,BBG001S5XV46,True,,
6737,security,BBG002MXJF95,True,,
6738,security,BBG00CZT89G6,True,,
6739,security,BBG00L4G09L0,True,,
6740,security,BBG001S60TW4,True,,
6741,security,BBG001S93824,True,,
6742,security,BBG001SCLYN7,True,,
6743,security,BBG0027GG8D3,True,,
6744,security,BBG001SBCMK8,True,,
6745,security,BBG00LJN18F7,True,,
6746,security,BBG001SJ6KL1,True,,
6747,security,BBG003PDG606,True,,
6748,security,BBG001S6BSB7,True,,
6749,security,BBG001S68XM8,True,,
6750,security,BBG001S91BS1,True,,
6751,security,BBG00JWV26S8,True,,
6752,security,BBG002FY2XC6,True,,
6753,security,BBG001SF3JC5,True,,
6754,security,BBG0074JV1B9,True,,
6755,security,BBG001SGMXV0,True,,
6756,security,BBG00VM43QS7,True,,
6757,security,BBG001SF5H91,True,,
6758,security,BBG001S5XZ38,True,,
6759,security,BBG001S5SYB8,True,,
6760,security,BBG001SFPFM8,True,,
6761,security,BBG00F5P86D9,True,,
6762,security,BBG001S6VKB2,True,,
6763,security,BBG001S67SB2,True,,
6764,security,BBG001SF3K41,True,,
6765,security,BBG001STK894,True,,
6767,security,BBG001T38RY4,True,,
6768,security,BBG001T6VQP3,True,,
6769,security,BBG001S9B3Q0,True,,
6770,security,BBG00P0QCPV3,True,,
6771,security,BBG001TCSGK1,True,,
6772,security,BBG001S5S1R3,True,,
6773,security,BBG001SKRHH7,True,,
6774,security,BBG001S76Y46,True,,
6775,security,BBG001S827C8,True,,
6776,security,BBG00NB00933,True,,
6777,security,BBG0029H4R95,True,,
6778,security,BBG001SKG157,True,,
6779,security,BBG00MQ4H0D1,True,,
6780,security,BBG00JYXW3R7,True,,
6781,security,BBG009KJQMM5,True,,
6782,security,BBG00L95QCQ9,True,,
6783,security,BBG001S5YGV8,True,,
6784,security,BBG001SBF5M0,True,,
6785,security,BBG001SF3KB3,True,,
6786,security,BBG001S6S0K0,True,,
6787,security,BBG001S5T4S5,True,,
6788,security,BBG001S99P39,True,,
6789,security,BBG001S6M6G8,True,,
6790,security,BBG011DVVG30,True,,
6791,security,BBG001S5QWR7,True,,
6792,security,BBG001T5P8X3,True,,
6793,security,BBG00P5NVDH7,True,,
6794,security,BBG0073F9KR4,True,,
6795,security,BBG001SCNVC3,True,,
6796,security,BBG001SRQYB2,True,,
6797,security,BBG001S75W78,True,,
6798,security,BBG004HK0KS3,True,,
6799,security,BBG001SPHGX1,True,,
6800,security,BBG001SRS2P5,True,,
6801,security,BBG001ST12P0,True,,
6802,security,BBG001S6TNX5,True,,
6803,security,BBG002NFG5Q9,True,,
6804,security,BBG001S9RR08,True,,
6805,security,BBG001SD8RV6,True,,
6806,security,BBG001T4JGM7,True,,
6807,security,BBG008748J97,True,,
6808,security,BBG00K1K45T2,True,,
6809,security,BBG001SNXQB0,True,,
6810,security,BBG001S5RL36,True,,
6811,security,BBG001S67B83,True,,
6812,security,BBG001T64P11,True,,
6813,security,BBG001STBDB0,True,,
6814,security,BBG001S8QT43,True,,
6815,security,BBG0068L8NP5,True,,
6816,security,BBG001SNJV52,True,,
6817,security,BBG003PYKHX5,True,,
6818,security,BBG003PYKL57,True,,
6819,security,BBG001SCLF03,True,,
6820,security,BBG001S6S681,True,,
6821,security,BBG001SK6JP7,True,,
6822,security,BBG001S7NY10,True,,
6823,security,BBG001SLY9X7,True,,
6824,security,BBG001S7FDP9,True,,
6825,security,BBG001S9RJ88,True,,
6826,security,BBG001S648Y4,True,,
6827,security,BBG00F812LZ8,True,,
6828,security,BBG00DQDM928,True,,
6829,security,BBG001SCWN40,True,,
6830,security,BBG003CSCJ30,True,,
6831,security,BBG001SD7BP9,True,,
6832,security,BBG001T41N96,True,,
6833,security,BBG001S63660,True,,
6834,security,BBG001S63Q39,True,,
6835,security,BBG0037V3469,True,,
6836,security,BBG001TCWD14,True,,
6837,security,BBG001S69FC7,True,,
6838,security,BBG001SCCBK0,True,,
6839,security,BBG001V0BNV5,True,,
6840,security,BBG001SP6P27,True,,
6841,security,BBG001S7WCN4,True,,
6842,security,BBG001S8QY88,True,,
6843,security,BBG001S5ZDB6,True,,
6844,security,BBG001SQLV52,True,,
6845,security,BBG0032QLZM8,True,,
6846,security,BBG001S62PF9,True,,
6847,security,BBG001SKDNK5,True,,
6848,security,BBG001S6S5C8,True,,
6849,security,BBG001S5ZJS5,True,,
6850,security,BBG00HZZLFX3,True,,
6851,security,BBG001TC6F45,True,,
6852,security,BBG001V16X29,True,,
6853,security,BBG001SC0XH9,True,,
6854,security,BBG001S70L13,True,,
6855,security,BBG001V0YVJ6,True,,
6856,security,BBG00BDM1901,True,,
6857,security,BBG001S5TMD1,True,,
6858,security,BBG001S6FHB7,True,,
6859,security,BBG001S9N1B7,True,,
6860,security,BBG001S5TP08,True,,
6861,security,BBG001S9RDW4,True,,
6862,security,BBG001T6YD97,True,,
6863,security,BBG00B9Q6K07,True,,
6864,security,BBG001S86R67,True,,
6865,security,BBG001S6Y238,True,,
